x,T,u,Y_H2,Y_H,Y_O,Y_O2,Y_OH,Y_H2O,Y_HO2,Y_H2O2,Y_AR
2.09223633e-02,3.88320919e+02,2.84167838e+00,2.49172027e-02,2.60267712e-06,7.51888548e-06,2.20135445e-01,1.06575455e-04,3.11946301e-03,5.73732969e-04,1.00050363e-04,0.00000000e+00
2.09238281e-02,3.93336815e+02,2.87618884e+00,2.48263841e-02,3.08362811e-06,8.36088640e-06,2.19936836e-01,1.19923916e-04,3.37376112e-03,6.00229628e-04,1.05625799e-04,0.00000000e+00
2.09252930e-02,3.98564067e+02,2.91216946e+00,2.47338779e-02,3.64058088e-06,9.29348483e-06,2.19725376e-01,1.34633401e-04,3.64415098e-03,6.25535882e-04,1.11236323e-04,0.00000000e+00
2.09267578e-02,4.04002629e+02,2.94961793e+00,2.46397158e-02,4.28279398e-06,1.03238408e-05,2.19500795e-01,1.50759575e-04,3.93105842e-03,6.49384334e-04,1.16857243e-04,0.00000000e+00
2.09282227e-02,4.09651560e+02,2.98852548e+00,2.45439314e-02,5.02013854e-06,1.14591316e-05,2.19262856e-01,1.68343080e-04,4.23486180e-03,6.71527294e-04,1.22463705e-04,0.00000000e+00
2.09296875e-02,4.15509010e+02,3.02887679e+00,2.44465596e-02,5.86305214e-06,1.27064675e-05,2.19011355e-01,1.87406598e-04,4.55588905e-03,6.91744021e-04,1.28030913e-04,0.00000000e+00
2.09304199e-02,4.18515235e+02,3.04958828e+00,2.43972856e-02,6.32837370e-06,1.33749865e-05,2.18880412e-01,1.97497216e-04,4.72302007e-03,7.01059499e-04,1.30791076e-04,0.00000000e+00
2.09311523e-02,4.21573238e+02,3.07065762e+00,2.43476269e-02,6.82437156e-06,1.40745918e-05,2.18745933e-01,2.07962382e-04,4.89464879e-03,7.09812996e-04,1.33531806e-04,0.00000000e+00
2.09318848e-02,4.24682555e+02,3.09208122e+00,2.42975880e-02,7.35249937e-06,1.48061491e-05,2.18607897e-01,2.18798864e-04,5.07080549e-03,7.17985605e-04,1.36249995e-04,0.00000000e+00
2.09326172e-02,4.27842639e+02,3.11385491e+00,2.42471740e-02,7.91421146e-06,1.55704860e-05,2.18466290e-01,2.30001654e-04,5.25151410e-03,7.25561414e-04,1.38942577e-04,0.00000000e+00
2.09333496e-02,4.31052918e+02,3.13597432e+00,2.41963895e-02,8.51100114e-06,1.63684308e-05,2.18321096e-01,2.41564402e-04,5.43679795e-03,7.32526870e-04,1.41606504e-04,0.00000000e+00
2.09340820e-02,4.34312741e+02,3.15843455e+00,2.41452396e-02,9.14435429e-06,1.72007702e-05,2.18172304e-01,2.53478941e-04,5.62667405e-03,7.38871556e-04,1.44238779e-04,0.00000000e+00
2.09348145e-02,4.37621438e+02,3.18123053e+00,2.40937288e-02,9.81579025e-06,1.80682896e-05,2.18019903e-01,2.65735724e-04,5.82115878e-03,7.44587475e-04,1.46836426e-04,0.00000000e+00
2.09355469e-02,4.40978261e+02,3.20435666e+00,2.40418623e-02,1.05268123e-05,1.89717299e-05,2.17863885e-01,2.78323397e-04,6.02026237e-03,7.49669787e-04,1.49396531e-04,0.00000000e+00
2.09362793e-02,4.44382448e+02,3.22780722e+00,2.39896448e-02,1.12789510e-05,1.99118302e-05,2.17704245e-01,2.91229238e-04,6.22399445e-03,7.54116038e-04,1.51916198e-04,0.00000000e+00
2.09370117e-02,4.47833166e+02,3.25157601e+00,2.39370813e-02,1.20737119e-05,2.08892843e-05,2.17540980e-01,3.04438793e-04,6.43235864e-03,7.57926840e-04,1.54392606e-04,0.00000000e+00
2.09377441e-02,4.51329569e+02,3.27565672e+00,2.38841765e-02,1.29126209e-05,2.19047847e-05,2.17374089e-01,3.17936300e-04,6.64535803e-03,7.61105065e-04,1.56822955e-04,0.00000000e+00
